Description	
Number of Runs	37
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	600
Step Voltage	15
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	600	0	1	04/28/22 03:07:17 PM	
2	615	0	1	04/28/22 03:07:18 PM	
3	630	0	1	04/28/22 03:07:19 PM	
4	645	0	1	04/28/22 03:07:20 PM	
5	660	0	1	04/28/22 03:07:21 PM	
6	675	0	1	04/28/22 03:07:23 PM	
7	690	0	1	04/28/22 03:07:24 PM	
8	705	0	1	04/28/22 03:07:25 PM	
9	720	0	1	04/28/22 03:07:26 PM	
10	735	0	1	04/28/22 03:07:27 PM	
11	750	74	1	04/28/22 03:07:29 PM	
12	765	69	1	04/28/22 03:07:30 PM	
13	780	83	1	04/28/22 03:07:31 PM	
14	795	95	1	04/28/22 03:07:32 PM	
15	810	78	1	04/28/22 03:07:33 PM	
16	825	89	1	04/28/22 03:07:34 PM	
17	840	77	1	04/28/22 03:07:36 PM	
18	855	94	1	04/28/22 03:07:37 PM	
19	870	94	1	04/28/22 03:07:38 PM	
20	885	83	1	04/28/22 03:07:39 PM	
21	900	102	1	04/28/22 03:07:40 PM	
22	915	106	1	04/28/22 03:07:42 PM	
23	930	102	1	04/28/22 03:07:43 PM	
24	945	89	1	04/28/22 03:07:44 PM	
25	960	112	1	04/28/22 03:07:45 PM	
26	975	101	1	04/28/22 03:07:46 PM	
27	990	110	1	04/28/22 03:07:48 PM	
28	1005	100	1	04/28/22 03:07:49 PM	
29	1020	114	1	04/28/22 03:07:50 PM	
30	1035	113	1	04/28/22 03:07:51 PM	
31	1050	99	1	04/28/22 03:07:52 PM	
32	1065	127	1	04/28/22 03:07:53 PM	
33	1080	118	1	04/28/22 03:07:55 PM	
34	1095	127	1	04/28/22 03:07:56 PM	
35	1110	97	1	04/28/22 03:07:57 PM	
36	1125	105	1	04/28/22 03:07:58 PM	
37	1140	105	1	04/28/22 03:07:59 PM	
