Description	
Number of Runs	101
Preset Time	2
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	5
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	0	2	04/28/22 03:09:28 PM	
2	705	0	2	04/28/22 03:09:30 PM	
3	710	0	2	04/28/22 03:09:33 PM	
4	715	0	2	04/28/22 03:09:35 PM	
5	720	0	2	04/28/22 03:09:37 PM	
6	725	0	2	04/28/22 03:09:39 PM	
7	730	0	2	04/28/22 03:09:41 PM	
8	735	0	2	04/28/22 03:09:43 PM	
9	740	82	2	04/28/22 03:09:46 PM	
10	745	89	2	04/28/22 03:09:48 PM	
11	750	166	2	04/28/22 03:09:50 PM	
12	755	137	2	04/28/22 03:09:52 PM	
13	760	145	2	04/28/22 03:09:54 PM	
14	765	147	2	04/28/22 03:09:56 PM	
15	770	162	2	04/28/22 03:09:59 PM	
16	775	167	2	04/28/22 03:10:01 PM	
17	780	153	2	04/28/22 03:10:03 PM	
18	785	181	2	04/28/22 03:10:05 PM	
19	790	187	2	04/28/22 03:10:07 PM	
20	795	191	2	04/28/22 03:10:09 PM	
21	800	178	2	04/28/22 03:10:11 PM	
22	805	168	2	04/28/22 03:10:14 PM	
23	810	166	2	04/28/22 03:10:16 PM	
24	815	170	2	04/28/22 03:10:18 PM	
25	820	187	2	04/28/22 03:10:20 PM	
26	825	169	2	04/28/22 03:10:22 PM	
27	830	168	2	04/28/22 03:10:24 PM	
28	835	186	2	04/28/22 03:10:27 PM	
29	840	180	2	04/28/22 03:10:29 PM	
30	845	175	2	04/28/22 03:10:31 PM	
31	850	199	2	04/28/22 03:10:33 PM	
32	855	203	2	04/28/22 03:10:35 PM	
33	860	201	2	04/28/22 03:10:37 PM	
34	865	186	2	04/28/22 03:10:39 PM	
35	870	165	2	04/28/22 03:10:42 PM	
36	875	187	2	04/28/22 03:10:44 PM	
37	880	191	2	04/28/22 03:10:46 PM	
38	885	191	2	04/28/22 03:10:48 PM	
39	890	182	2	04/28/22 03:10:50 PM	
40	895	181	2	04/28/22 03:10:52 PM	
41	900	231	2	04/28/22 03:10:55 PM	
42	905	220	2	04/28/22 03:10:57 PM	
43	910	199	2	04/28/22 03:10:59 PM	
44	915	188	2	04/28/22 03:11:01 PM	
45	920	209	2	04/28/22 03:11:03 PM	
46	925	214	2	04/28/22 03:11:05 PM	
47	930	186	2	04/28/22 03:11:08 PM	
48	935	198	2	04/28/22 03:11:10 PM	
49	940	188	2	04/28/22 03:11:12 PM	
50	945	195	2	04/28/22 03:11:14 PM	
51	950	210	2	04/28/22 03:11:16 PM	
52	955	199	2	04/28/22 03:11:19 PM	
53	960	233	2	04/28/22 03:11:21 PM	
54	965	201	2	04/28/22 03:11:23 PM	
55	970	190	2	04/28/22 03:11:25 PM	
56	975	241	2	04/28/22 03:11:27 PM	
57	980	227	2	04/28/22 03:11:29 PM	
58	985	206	2	04/28/22 03:11:31 PM	
59	990	265	2	04/28/22 03:11:33 PM	
60	995	236	2	04/28/22 03:11:36 PM	
61	1000	239	2	04/28/22 03:11:38 PM	
62	1005	228	2	04/28/22 03:11:40 PM	
63	1010	265	2	04/28/22 03:11:42 PM	
64	1015	214	2	04/28/22 03:11:44 PM	
65	1020	194	2	04/28/22 03:11:46 PM	
66	1025	201	2	04/28/22 03:11:49 PM	
67	1030	229	2	04/28/22 03:11:51 PM	
68	1035	207	2	04/28/22 03:11:53 PM	
69	1040	250	2	04/28/22 03:11:55 PM	
70	1045	202	2	04/28/22 03:11:57 PM	
71	1050	213	2	04/28/22 03:12:00 PM	
72	1055	233	2	04/28/22 03:12:02 PM	
73	1060	228	2	04/28/22 03:12:04 PM	
74	1065	244	2	04/28/22 03:12:06 PM	
75	1070	240	2	04/28/22 03:12:08 PM	
76	1075	213	2	04/28/22 03:12:10 PM	
77	1080	203	2	04/28/22 03:12:13 PM	
78	1085	227	2	04/28/22 03:12:15 PM	
79	1090	214	2	04/28/22 03:12:17 PM	
80	1095	214	2	04/28/22 03:12:19 PM	
81	1100	246	2	04/28/22 03:12:21 PM	
82	1105	246	2	04/28/22 03:12:23 PM	
83	1110	213	2	04/28/22 03:12:25 PM	
84	1115	243	2	04/28/22 03:12:27 PM	
85	1120	216	2	04/28/22 03:12:30 PM	
86	1125	228	2	04/28/22 03:12:32 PM	
87	1130	238	2	04/28/22 03:12:34 PM	
88	1135	245	2	04/28/22 03:12:36 PM	
89	1140	241	2	04/28/22 03:12:38 PM	
90	1145	227	2	04/28/22 03:12:41 PM	
91	1150	222	2	04/28/22 03:12:43 PM	
92	1155	239	2	04/28/22 03:12:45 PM	
93	1160	256	2	04/28/22 03:12:47 PM	
94	1165	212	2	04/28/22 03:12:49 PM	
95	1170	251	2	04/28/22 03:12:51 PM	
96	1175	248	2	04/28/22 03:12:53 PM	
97	1180	246	2	04/28/22 03:12:56 PM	
98	1185	233	2	04/28/22 03:12:58 PM	
99	1190	234	2	04/28/22 03:13:00 PM	
100	1195	238	2	04/28/22 03:13:02 PM	
101	1200	249	2	04/28/22 03:13:04 PM	
