Description	
Number of Runs	18
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	300
Step Voltage	50
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	300	0	1	04/28/22 03:05:34 PM	
2	350	0	1	04/28/22 03:05:35 PM	
3	400	0	1	04/28/22 03:05:36 PM	
4	450	0	1	04/28/22 03:05:38 PM	
5	500	0	1	04/28/22 03:05:39 PM	
6	550	0	1	04/28/22 03:05:40 PM	
7	600	0	1	04/28/22 03:05:41 PM	
8	650	0	1	04/28/22 03:05:42 PM	
9	700	0	1	04/28/22 03:05:43 PM	
10	750	78	1	04/28/22 03:05:44 PM	
11	800	83	1	04/28/22 03:05:46 PM	
12	850	81	1	04/28/22 03:05:47 PM	
13	900	96	1	04/28/22 03:05:48 PM	
14	950	106	1	04/28/22 03:05:49 PM	
15	1000	116	1	04/28/22 03:05:50 PM	
16	1050	137	1	04/28/22 03:05:52 PM	
17	1100	119	1	04/28/22 03:05:53 PM	
18	1150	113	1	04/28/22 03:05:54 PM	
