Description	
Number of Runs	49
Preset Time	6
Pause Time	0
Alarm Level	0
High Voltage	720
Step Voltage	10
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	720	0	6	04/28/22 03:20:07 PM	
2	730	0	6	04/28/22 03:20:13 PM	
3	740	262	6	04/28/22 03:20:19 PM	
4	750	1036	6	04/28/22 03:20:26 PM	
5	760	1200	6	04/28/22 03:20:32 PM	
6	770	1233	6	04/28/22 03:20:38 PM	
7	780	1343	6	04/28/22 03:20:44 PM	
8	790	1353	6	04/28/22 03:20:50 PM	
9	800	1411	6	04/28/22 03:20:57 PM	
10	810	1432	6	04/28/22 03:21:03 PM	
11	820	1410	6	04/28/22 03:21:09 PM	
12	830	1524	6	04/28/22 03:21:15 PM	
13	840	1550	6	04/28/22 03:21:21 PM	
14	850	1515	6	04/28/22 03:21:28 PM	
15	860	1656	6	04/28/22 03:21:34 PM	
16	870	1648	6	04/28/22 03:21:40 PM	
17	880	1623	6	04/28/22 03:21:46 PM	
18	890	1624	6	04/28/22 03:21:53 PM	
19	900	1662	6	04/28/22 03:21:59 PM	
20	910	1715	6	04/28/22 03:22:05 PM	
21	920	1773	6	04/28/22 03:22:11 PM	
22	930	1725	6	04/28/22 03:22:18 PM	
23	940	1794	6	04/28/22 03:22:24 PM	
24	950	1822	6	04/28/22 03:22:30 PM	
25	960	1764	6	04/28/22 03:22:36 PM	
26	970	1866	6	04/28/22 03:22:43 PM	
27	980	1846	6	04/28/22 03:22:49 PM	
28	990	1950	6	04/28/22 03:22:55 PM	
29	1000	1882	6	04/28/22 03:23:01 PM	
30	1010	1910	6	04/28/22 03:23:07 PM	
31	1020	1901	6	04/28/22 03:23:14 PM	
32	1030	1917	6	04/28/22 03:23:20 PM	
33	1040	2018	6	04/28/22 03:23:26 PM	
34	1050	1958	6	04/28/22 03:23:32 PM	
35	1060	2004	6	04/28/22 03:23:38 PM	
36	1070	2037	6	04/28/22 03:23:45 PM	
37	1080	2008	6	04/28/22 03:23:51 PM	
38	1090	2087	6	04/28/22 03:23:57 PM	
39	1100	2041	6	04/28/22 03:24:03 PM	
40	1110	2021	6	04/28/22 03:24:09 PM	
41	1120	2080	6	04/28/22 03:24:16 PM	
42	1130	2074	6	04/28/22 03:24:22 PM	
43	1140	2067	6	04/28/22 03:24:28 PM	
44	1150	2127	6	04/28/22 03:24:34 PM	
45	1160	2113	6	04/28/22 03:24:41 PM	
46	1170	2083	6	04/28/22 03:24:47 PM	
47	1180	2140	6	04/28/22 03:24:53 PM	
48	1190	2078	6	04/28/22 03:24:59 PM	
49	1200	2132	6	04/28/22 03:25:05 PM	
