Description	
Number of Runs	71
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	500
Step Voltage	10
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	500	0	5	04/28/22 03:15:58 PM	
2	510	0	5	04/28/22 03:16:04 PM	
3	520	0	5	04/28/22 03:16:09 PM	
4	530	0	5	04/28/22 03:16:14 PM	
5	540	0	5	04/28/22 03:16:19 PM	
6	550	0	5	04/28/22 03:16:25 PM	
7	560	0	5	04/28/22 03:16:30 PM	
8	570	0	5	04/28/22 03:16:35 PM	
9	580	0	5	04/28/22 03:16:40 PM	
10	590	0	5	04/28/22 03:16:45 PM	
11	600	0	5	04/28/22 03:16:51 PM	
12	610	0	5	04/28/22 03:16:56 PM	
13	620	0	5	04/28/22 03:17:01 PM	
14	630	0	5	04/28/22 03:17:06 PM	
15	640	0	5	04/28/22 03:17:11 PM	
16	650	0	5	04/28/22 03:17:17 PM	
17	660	0	5	04/28/22 03:17:22 PM	
18	670	0	5	04/28/22 03:17:27 PM	
19	680	0	5	04/28/22 03:17:32 PM	
20	690	0	5	04/28/22 03:17:38 PM	
21	700	0	5	04/28/22 03:17:43 PM	
22	710	0	5	04/28/22 03:17:48 PM	
23	720	0	5	04/28/22 03:17:53 PM	
24	730	0	5	04/28/22 03:17:58 PM	
25	740	0	5	04/28/22 03:18:03 PM	
26	750	0	5	04/28/22 03:18:09 PM	
27	760	1	5	04/28/22 03:18:14 PM	
28	770	111	5	04/28/22 03:18:19 PM	
29	780	194	5	04/28/22 03:18:24 PM	
30	790	197	5	04/28/22 03:18:29 PM	
31	800	208	5	04/28/22 03:18:35 PM	
32	810	206	5	04/28/22 03:18:40 PM	
33	820	213	5	04/28/22 03:18:45 PM	
34	830	201	5	04/28/22 03:18:50 PM	
35	840	227	5	04/28/22 03:18:55 PM	
36	850	224	5	04/28/22 03:19:01 PM	
37	860	257	5	04/28/22 03:19:06 PM	
38	870	231	5	04/28/22 03:19:11 PM	
39	880	241	5	04/28/22 03:19:16 PM	
40	890	246	5	04/28/22 03:19:21 PM	
41	900	212	5	04/28/22 03:19:27 PM	
42	910	237	5	04/28/22 03:19:32 PM	
43	920	266	5	04/28/22 03:19:37 PM	
44	930	232	5	04/28/22 03:19:42 PM	
45	940	263	5	04/28/22 03:19:48 PM	
46	950	237	5	04/28/22 03:19:53 PM	
47	960	232	5	04/28/22 03:19:58 PM	
48	970	254	5	04/28/22 03:20:03 PM	
49	980	249	5	04/28/22 03:20:09 PM	
50	990	264	5	04/28/22 03:20:14 PM	
51	1000	254	5	04/28/22 03:20:19 PM	
52	1010	260	5	04/28/22 03:20:24 PM	
53	1020	289	5	04/28/22 03:20:29 PM	
54	1030	293	5	04/28/22 03:20:34 PM	
55	1040	277	5	04/28/22 03:20:40 PM	
56	1050	262	5	04/28/22 03:20:45 PM	
57	1060	267	5	04/28/22 03:20:50 PM	
58	1070	255	5	04/28/22 03:20:55 PM	
59	1080	261	5	04/28/22 03:21:00 PM	
60	1090	288	5	04/28/22 03:21:06 PM	
61	1100	268	5	04/28/22 03:21:11 PM	
62	1110	262	5	04/28/22 03:21:16 PM	
63	1120	301	5	04/28/22 03:21:21 PM	
64	1130	281	5	04/28/22 03:21:26 PM	
65	1140	302	5	04/28/22 03:21:32 PM	
66	1150	311	5	04/28/22 03:21:37 PM	
67	1160	299	5	04/28/22 03:21:42 PM	
68	1170	301	5	04/28/22 03:21:47 PM	
69	1180	301	5	04/28/22 03:21:52 PM	
70	1190	286	5	04/28/22 03:21:57 PM	
71	1200	293	5	04/28/22 03:22:03 PM	
