Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	9	5	04/28/22 03:50:02 PM	
2	1000	11	5	04/28/22 03:50:07 PM	
3	1000	11	5	04/28/22 03:50:12 PM	
4	1000	8	5	04/28/22 03:50:18 PM	
5	1000	8	5	04/28/22 03:50:23 PM	
6	1000	11	5	04/28/22 03:50:28 PM	
7	1000	10	5	04/28/22 03:50:34 PM	
8	1000	7	5	04/28/22 03:50:39 PM	
9	1000	7	5	04/28/22 03:50:44 PM	
10	1000	14	5	04/28/22 03:50:49 PM	
11	1000	7	5	04/28/22 03:50:54 PM	
12	1000	9	5	04/28/22 03:51:00 PM	
13	1000	6	5	04/28/22 03:51:05 PM	
14	1000	11	5	04/28/22 03:51:10 PM	
15	1000	7	5	04/28/22 03:51:15 PM	
16	1000	14	5	04/28/22 03:51:20 PM	
17	1000	3	5	04/28/22 03:51:26 PM	
18	1000	6	5	04/28/22 03:51:31 PM	
