Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	364	10	04/28/22 04:47:45 PM	
2	1000	380	10	04/28/22 04:47:56 PM	
3	1000	374	10	04/28/22 04:48:06 PM	
4	1000	323	10	04/28/22 04:48:16 PM	
5	1000	366	10	04/28/22 04:48:26 PM	
6	1000	361	10	04/28/22 04:48:37 PM	
7	1000	361	10	04/28/22 04:48:47 PM	
8	1000	353	10	04/28/22 04:48:57 PM	
9	1000	325	10	04/28/22 04:49:07 PM	
10	1000	382	10	04/28/22 04:49:17 PM	
11	1000	336	10	04/28/22 04:49:28 PM	
12	1000	375	10	04/28/22 04:49:38 PM	
13	1000	366	10	04/28/22 04:49:48 PM	
14	1000	404	10	04/28/22 04:49:58 PM	
15	1000	354	10	04/28/22 04:50:09 PM	
16	1000	369	10	04/28/22 04:50:19 PM	
