Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	266	10	04/28/22 04:52:37 PM	
2	1000	222	10	04/28/22 04:52:47 PM	
3	1000	236	10	04/28/22 04:52:58 PM	
4	1000	242	10	04/28/22 04:53:08 PM	
5	1000	213	10	04/28/22 04:53:18 PM	
6	1000	250	10	04/28/22 04:53:28 PM	
7	1000	238	10	04/28/22 04:53:38 PM	
8	1000	218	10	04/28/22 04:53:49 PM	
9	1000	220	10	04/28/22 04:53:59 PM	
10	1000	224	10	04/28/22 04:54:09 PM	
11	1000	186	10	04/28/22 04:54:19 PM	
12	1000	234	10	04/28/22 04:54:30 PM	
13	1000	233	10	04/28/22 04:54:40 PM	
