Description	
Number of Runs	150
Preset Time	20
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	864	20	04/28/22 04:43:13 PM	
2	1000	874	20	04/28/22 04:43:34 PM	
3	1000	814	20	04/28/22 04:43:54 PM	
4	1000	847	20	04/28/22 04:44:14 PM	
5	1000	857	20	04/28/22 04:44:34 PM	
6	1000	921	20	04/28/22 04:44:55 PM	
7	1000	853	20	04/28/22 04:45:15 PM	
8	1000	959	20	04/28/22 04:45:35 PM	
9	1000	924	20	04/28/22 04:45:55 PM	
10	1000	849	20	04/28/22 04:46:16 PM	
11	1000	895	20	04/28/22 04:46:36 PM	
