Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	523	10	04/28/22 04:39:52 PM	
2	1000	484	10	04/28/22 04:40:03 PM	
3	1000	548	10	04/28/22 04:40:13 PM	
4	1000	510	10	04/28/22 04:40:23 PM	
5	1000	519	10	04/28/22 04:40:33 PM	
6	1000	531	10	04/28/22 04:40:44 PM	
7	1000	527	10	04/28/22 04:40:54 PM	
8	1000	501	10	04/28/22 04:41:04 PM	
9	1000	558	10	04/28/22 04:41:14 PM	
10	1000	525	10	04/28/22 04:41:24 PM	
11	1000	496	10	04/28/22 04:41:35 PM	
12	1000	507	10	04/28/22 04:41:45 PM	
13	1000	540	10	04/28/22 04:41:55 PM	
14	1000	522	10	04/28/22 04:42:05 PM	
