Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	54	10	04/28/22 04:57:25 PM	
2	1000	73	10	04/28/22 04:57:35 PM	
3	1000	57	10	04/28/22 04:57:45 PM	
4	1000	64	10	04/28/22 04:57:56 PM	
5	1000	60	10	04/28/22 04:58:06 PM	
6	1000	75	10	04/28/22 04:58:16 PM	
7	1000	66	10	04/28/22 04:58:26 PM	
8	1000	65	10	04/28/22 04:58:37 PM	
9	1000	67	10	04/28/22 04:58:47 PM	
10	1000	51	10	04/28/22 04:58:57 PM	
11	1000	55	10	04/28/22 04:59:07 PM	
12	1000	56	10	04/28/22 04:59:18 PM	
13	1000	67	10	04/28/22 04:59:28 PM	
